id	SRR925687	SRR925688	SRR925720	SRR925721	SRR934634	SRR925697	SRR925703	SRR925714	SRR925716	SRR925726	SRR934636
ENSG00000144233.8	8.06	10.52	9.76	9.12	11.76	9.25	7.2	14.64	7.37	9.21	20.86
ENSG00000242616.3	27.61	15.47	22.33	23.27	17.37	39.8	19.84	39.57	8.89	29.91	13.34
ENSG00000163528.11	20.76	9.18	27.65	17.95	11.78	32.93	18.77	21.39	12.42	30.92	9.15
ENSG00000112033.12	12.46	25.12	10.84	62.48	27.43	16.22	13.34	8.17	26.72	24.65	34.61
ENSG00000232838.3	20.11	14.65	13.8	14.71	14.24	15.39	13.74	17.89	16.68	8.73	13.45
ENSG00000113240.11	4.91	14.31	7.01	3.31	2.8	7.7	12.74	8.82	5.78	5.72	7.77
ENSG00000048140.16	44.31	37.82	37.25	44.95	37.26	26.69	27.34	35.48	39.54	61.01	101.51
ENSG00000281649.1	11.75	14.57	15.26	11.34	16.33	16.73	13.48	13.46	10.17	11.39	12.4
ENSG00000170175.9	10.6	16.96	5.35	3.5	15.21	6.66	6.5	3.85	11.1	79.93	6.01
ENSG00000102879.14	35.9	0.84	6.7	8.37	1.23	4.55	11.22	5.85	9.5	2.73	1.56
ENSG00000136754.15	22.85	47.34	30.25	30.6	12.5	34.16	19.96	31.33	10.46	24.88	24.07
ENSG00000086232.11	38.84	40.93	67.8	25.95	36.04	55.1	52.42	50.76	31.63	30.1	69.01
ENSG00000161533.10	16.74	18.69	10.01	19.55	15.68	7.7	23.26	21.47	8.41	11.36	56.78
ENSG00000076003.4	45.98	5.17	31.81	17.72	24.23	40.88	48.84	44.24	24.46	25.56	4.72
ENSG00000145247.10	150.02	91.17	126.72	184.27	124.48	0.13	26.76	30.22	0.23	112.06	383.44
ENSG00000213599.8	13.69	13	5.53	6.01	0.78	12.16	7.04	7.61	8.14	2.64	25.81
ENSG00000139842.13	43.07	27.38	51.83	39.86	66.57	78.79	43.11	38.17	26.95	26.47	15.97
ENSG00000224956.5	9.23	7.56	5.27	5.59	2.43	2.75	4.46	3.55	4.27	4.19	10.39
ENSG00000163818.15	9.38	10.94	5.29	2.46	6.04	7.61	9.4	6.01	3.58	3.69	3.18
ENSG00000066379.13	25.17	25.81	49.64	50.87	69.88	34.49	51	42.12	28.14	34	180.39
ENSG00000075391.15	9.8	9.28	8.24	13.55	4.4	14.78	10.57	9.19	6.09	9.55	11.78
ENSG00000230202.1	182.51	208.1	0.37	0	0	222.3	0	0.27	0	0.84	0
ENSG00000156052.9	11.18	9.19	8.76	7.92	2.08	9.62	16.28	22.77	5.18	5.24	2.33
ENSG00000054967.11	10.27	2.89	8.76	11.18	11.72	13.29	3.16	8.05	16.79	19.85	5.37
ENSG00000205643.9	13.59	4.5	3.57	11.49	5.46	8.36	12.41	8.17	8.11	5.95	12.76
ENSG00000203812.2	43.06	31.68	33.91	41.09	21.2	15.88	19.96	146.33	14.25	13.44	91.44
ENSG00000105173.12	10.08	2.19	15.9	16.99	12.51	26.23	10.71	15.67	12.13	7.05	12.6
ENSG00000151445.14	11.14	7.66	8.46	9.04	8.48	9.85	26.08	15.86	8.16	4.96	3.3
ENSG00000176102.10	27.94	16.38	25.2	17.87	30.18	22.15	29.38	25.21	16.43	30.85	31.8
ENSG00000099968.16	25.43	32.83	29.26	30.79	24.44	20.86	23.64	138.82	26.58	20.39	21.81
ENSG00000050748.16	19.56	26.65	45.68	18.05	21.77	25.97	25.91	36.19	12.34	48.43	38.05
ENSG00000060069.15	12.29	9.8	10.28	11.89	15.56	6.51	2.57	13.97	14.28	7.46	16.88
ENSG00000108389.8	15.71	9.77	17.84	7.6	15.05	8.83	13.38	17.3	10.38	14.68	28.57
ENSG00000170634.11	6.46	10.04	5.72	8.54	6.72	8.08	5.29	2.46	6.56	15.05	18.17
ENSG00000133026.11	25.49	17.23	26.06	12.87	24.15	52.42	4.21	32.07	40.59	11.36	18.77
ENSG00000118257.15	44.75	1.98	9	41.61	18.86	9.33	12.44	23.79	7.11	3.93	252.76
ENSG00000100983.8	93.77	65.25	53.75	57	61.88	56.94	55.72	58.03	39.49	85.1	65.02
ENSG00000203950.6	203.72	172.69	101.96	165.25	73.37	264.49	44.7	62.9	68.19	91.76	160.86
ENSG00000255284.1	14.36	5.33	1.56	14.12	0.5	9.52	7.47	2.18	9.5	2.41	35.84
ENSG00000140474.11	21.04	41.19	31	34.1	16.66	41.1	18.63	30.43	21.45	27.87	68.13
ENSG00000182518.12	12.73	7.44	6.24	6.2	0.58	17.85	9.58	20.85	2.14	2.56	2.61
ENSG00000159720.10	113.82	95.7	74.27	116.83	80.39	95.5	67.65	64.94	87.22	99	116.07
ENSG00000008282.6	87.88	38.13	74.23	52.88	30.5	29.85	106.18	27.81	33.29	62.68	9.57
ENSG00000136826.13	23.3	24.59	5.79	44.14	14.12	5.65	4.56	0.88	28.57	8.79	46.88
ENSG00000163159.10	32.77	32.29	39.99	37.85	73.7	57.76	35.69	40.66	31.18	44.49	103.73
